date,Acts,Bills,Amendments,Repeals,Maori,Settlements,Climate,Education,immigration ,Drugs and Alchohol,National,Labour,NZFirst,Alliance,Act,United,Green,UnitedFuture,Progressive,MaoriParty
19960313,0,0,8,0,0,0,0,0,0,0,50,45,2,2,0,0,0,0,0,0
19960401,1,0,3,0,0,0,0,0,0,0,50,45,2,2,0,0,0,0,0,0
19960424,1,0,1,0,1,0,0,0,0,0,50,45,2,2,0,0,0,0,0,0
19960502,1,0,3,0,0,0,0,0,0,0,50,45,2,2,0,0,0,0,0,0
19960510,0,0,5,0,0,0,0,0,0,0,50,45,2,2,0,0,0,0,0,0
19960516,0,0,1,0,0,0,0,0,0,0,50,45,2,2,0,0,0,0,0,0
19960604,1,0,6,0,0,0,0,0,0,0,50,45,2,2,0,0,0,0,0,0
19960610,1,0,1,0,0,0,0,0,0,0,50,45,2,2,0,0,0,0,0,0
19960618,1,0,0,0,0,0,0,0,0,0,50,45,2,2,0,0,0,0,0,0
19960624,6,0,8,0,5,1,1,0,0,0,50,45,2,2,0,0,0,0,0,0
19960701,4,0,7,1,0,0,0,0,0,1,50,45,2,2,0,0,0,0,0,0
19960726,3,0,25,0,0,0,0,0,1,0,50,45,2,2,0,0,0,0,0,0
19960807,0,0,4,0,0,0,0,0,0,0,50,45,2,2,0,0,0,0,0,0
19960813,3,0,6,0,0,0,0,0,0,0,50,45,2,2,0,0,0,0,0,0
19960902,8,0,61,0,2,1,0,0,1,1,50,45,2,2,0,0,0,0,0,0
19961012,0,0,0,0,0,0,0,0,0,0,44,37,17,13,8,1,0,0,0,0
19970321,1,0,0,0,0,0,0,0,0,0,44,37,17,13,8,1,0,0,0,0
19970430,0,0,6,0,0,0,0,0,0,0,44,37,17,13,8,1,0,0,0,0
19970502,0,0,1,0,0,0,0,0,0,0,44,37,17,13,8,1,0,0,0,0
19970514,1,0,0,0,0,0,0,0,0,0,44,37,17,13,8,1,0,0,0,0
19970522,0,0,3,0,0,0,0,0,0,1,44,37,17,13,8,1,0,0,0,0
19970528,2,0,0,0,0,0,0,0,0,0,44,37,17,13,8,1,0,0,0,0
19970617,1,0,3,0,0,0,0,0,0,0,44,37,17,13,8,1,0,0,0,0
19970624,3,0,0,0,0,0,0,0,0,0,44,37,17,13,8,1,0,0,0,0
19970625,1,0,0,0,0,0,0,0,0,0,44,37,17,13,8,1,0,0,0,0
19970630,0,0,10,0,0,0,0,0,0,0,44,37,17,13,8,1,0,0,0,0
19970714,2,0,0,0,0,0,0,0,0,0,44,37,17,13,8,1,0,0,0,0
19970728,0,0,25,0,0,0,0,0,0,1,44,37,17,13,8,1,0,0,0,0
19970820,2,0,2,0,0,0,0,0,0,1,44,37,17,13,8,1,0,0,0,0
19970916,2,0,10,0,0,0,0,0,0,0,44,37,17,13,8,1,0,0,0,0
19970923,1,0,7,0,0,0,0,0,0,0,44,37,17,13,8,1,0,0,0,0
19971001,2,0,1,0,1,1,0,0,0,0,44,37,17,13,8,1,0,0,0,0
19971028,1,0,1,0,0,0,0,0,0,0,44,37,17,13,8,1,0,0,0,0
19971114,2,0,1,0,0,0,0,0,0,0,44,37,17,13,8,1,0,0,0,0
19971121,1,0,1,0,0,0,0,0,0,0,44,37,17,13,8,1,0,0,0,0
19971126,0,0,3,0,0,0,0,0,0,0,44,37,17,13,8,1,0,0,0,0
19971201,1,0,6,0,0,0,0,0,0,1,44,37,17,13,8,1,0,0,0,0
19971210,1,0,2,0,1,0,0,0,0,0,44,37,17,13,8,1,0,0,0,0
19971211,1,0,1,0,0,0,0,0,0,0,44,37,17,13,8,1,0,0,0,0
19971217,4,0,3,0,0,0,0,0,0,0,44,37,17,13,8,1,0,0,0,0
19980311,0,0,2,0,0,0,0,0,0,1,44,37,17,13,8,1,0,0,0,0
19980314,1,0,1,0,0,0,0,0,0,0,44,37,17,13,8,1,0,0,0,0
